main,gyear,count_us,count_for,totpool_pre_14,totpool_pre_58,totpool_pre_9p,totpool_ind14,totpool_ind58,totpool_ind9p,totpool_ind912,totpool_ind1316,totpool_ind17p,totpool_ind1720,totpool_ind2124,totpool_ind25p,totpool_pre_ind14,totpool_pre_ind58,totpool_pre_ind9p,totpool_ind15,totpool_ind610,totpool_ind1115,totpool_ind16p,totpat_2070,totpat_2032,dispat_ger_2070,dispat_ger_2032,dispat_aus_2070,dispat_aus_2032,uspat_ger_2070,uspat_ger_2032,uspat_aus_2070,uspat_aus_2032,class_age,class_age2,pre1933_germanclass,treat_us,treat_int_us,treat_dis,treat_int_dis,treat_us_pre33,treat_int_us_pre33,treat_dis_pre33,treat_int_dis_pre33,treat_pre33,count_us_Wcit,count_for_Wcit
008,1920,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,12,7,2,2,0,4,2,2,0,83,6889,1,0,0,0,0,0,0,0,0,0,101,0
008,1921,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,12,7,2,2,0,4,2,2,0,84,7056,1,0,0,0,0,0,0,0,0,0,98,2
008,1922,84,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,12,7,2,2,0,4,2,2,0,85,7225,1,0,0,0,0,0,0,0,0,0,150,4
008,1923,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,12,7,2,2,0,4,2,2,0,86,7396,1,0,0,0,0,0,0,0,0,0,109,0
008,1924,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,12,7,2,2,0,4,2,2,0,87,7569,1,0,0,0,0,0,0,0,0,0,123,0
008,1925,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,12,7,2,2,0,4,2,2,0,88,7744,1,0,0,0,0,0,0,0,0,0,176,0
008,1926,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,12,7,2,2,0,4,2,2,0,89,7921,1,0,0,0,0,0,0,0,0,0,120,0
008,1927,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,12,7,2,2,0,4,2,2,0,90,8100,1,0,0,0,0,0,0,0,0,0,332,0
008,1928,169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,12,7,2,2,0,4,2,2,0,91,8281,1,0,0,0,0,0,0,0,0,0,312,47
008,1929,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,12,7,2,2,0,4,2,2,0,92,8464,1,0,0,0,0,0,0,0,0,0,446,0
008,1930,225,0,10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,31,12,7,2,2,0,4,2,2,0,93,8649,1,0,0,0,0,0,0,0,0,0,303,0
